gvkey,iid,gvkeyx,from,thru,conm,tic
5047,1,5,11/7/1907,6/25/2018,Dow Jones Industrials-30 Stk,I0005
4503,1,5,10/1/1928,8/28/2020,Dow Jones Industrials-30 Stk,I0005
3144,1,5,5/26/1932,,Dow Jones Industrials-30 Stk,I0005
6066,1,5,5/26/1932,,Dow Jones Industrials-30 Stk,I0005
8762,1,5,5/26/1932,,Dow Jones Industrials-30 Stk,I0005
4087,1,5,11/20/1935,8/31/2017,Dow Jones Industrials-30 Stk,I0005
1356,1,5,6/1/1959,9/22/2013,Dow Jones Industrials-30 Stk,I0005
10983,1,5,5/1/1975,8/28/2020,Dow Jones Industrials-30 Stk,I0005
7435,1,5,8/9/1976,,Dow Jones Industrials-30 Stk,I0005
7257,1,5,6/29/1979,,Dow Jones Industrials-30 Stk,I0005
1447,1,5,8/30/1982,,Dow Jones Industrials-30 Stk,I0005
7154,1,5,10/30/1985,,Dow Jones Industrials-30 Stk,I0005
2285,1,5,3/12/1987,,Dow Jones Industrials-30 Stk,I0005
2817,1,5,5/6/1991,,Dow Jones Industrials-30 Stk,I0005
3980,1,5,5/6/1991,,Dow Jones Industrials-30 Stk,I0005
6266,1,5,3/17/1997,,Dow Jones Industrials-30 Stk,I0005
11259,1,5,3/17/1997,,Dow Jones Industrials-30 Stk,I0005
5606,1,5,3/17/1997,9/22/2013,Dow Jones Industrials-30 Stk,I0005
5680,1,5,11/1/1999,,Dow Jones Industrials-30 Stk,I0005
6008,1,5,11/1/1999,,Dow Jones Industrials-30 Stk,I0005
12141,1,5,11/1/1999,,Dow Jones Industrials-30 Stk,I0005
9899,1,5,11/1/1999,3/18/2015,Dow Jones Industrials-30 Stk,I0005
2968,1,5,1/2/2001,,Dow Jones Industrials-30 Stk,I0005
2136,1,5,4/8/2004,,Dow Jones Industrials-30 Stk,I0005
8530,1,5,4/8/2004,8/28/2020,Dow Jones Industrials-30 Stk,I0005
2991,1,5,2/19/2008,,Dow Jones Industrials-30 Stk,I0005
7647,1,5,2/19/2008,9/22/2013,Dow Jones Industrials-30 Stk,I0005
142953,1,5,9/22/2008,9/23/2012,Dow Jones Industrials-30 Stk,I0005
20779,1,5,6/8/2009,,Dow Jones Industrials-30 Stk,I0005
62689,5,5,6/8/2009,,Dow Jones Industrials-30 Stk,I0005
10903,1,5,9/24/2012,,Dow Jones Industrials-30 Stk,I0005
7906,1,5,9/23/2013,,Dow Jones Industrials-30 Stk,I0005
114628,1,5,9/23/2013,,Dow Jones Industrials-30 Stk,I0005
179534,1,5,9/23/2013,,Dow Jones Industrials-30 Stk,I0005
1690,1,5,3/19/2015,,Dow Jones Industrials-30 Stk,I0005
4060,1,5,9/1/2017,4/1/2019,Dow Jones Industrials-30 Stk,I0005
11264,1,5,6/26/2018,,Dow Jones Industrials-30 Stk,I0005
34443,1,5,4/2/2019,,Dow Jones Industrials-30 Stk,I0005
1300,1,5,8/31/2020,,Dow Jones Industrials-30 Stk,I0005
1602,1,5,8/31/2020,,Dow Jones Industrials-30 Stk,I0005
157855,1,5,8/31/2020,,Dow Jones Industrials-30 Stk,I0005
2574,1,6,1/1/1900,,Dow Jones Transportation-20,I0006
4598,1,6,1/1/1900,,Dow Jones Transportation-20,I0006
7923,1,6,1/1/1900,,Dow Jones Transportation-20,I0006
9299,1,6,1/1/1900,,Dow Jones Transportation-20,I0006
9882,1,6,1/1/1900,,Dow Jones Transportation-20,I0006
10867,1,6,1/1/1900,,Dow Jones Transportation-20,I0006
1045,1,6,1/1/1900,1/4/2012,Dow Jones Transportation-20,I0006
3416,1,6,1/1/1900,10/14/2015,Dow Jones Transportation-20,I0006
1254,1,6,11/13/1997,,Dow Jones Transportation-20,I0006
4941,1,6,3/23/1998,,Dow Jones Transportation-20,I0006
5783,1,6,3/22/1999,,Dow Jones Transportation-20,I0006
10920,1,6,12/11/2002,,Dow Jones Transportation-20,I0006
4494,1,6,8/19/2003,,Dow Jones Transportation-20,I0006
65609,1,6,12/12/2003,,Dow Jones Transportation-20,I0006
21440,1,6,5/24/2005,,Dow Jones Transportation-20,I0006
8210,1,6,9/18/2005,10/31/2012,Dow Jones Transportation-20,I0006
147305,1,6,9/19/2005,,Dow Jones Transportation-20,I0006
3851,3,6,12/12/2009,,Dow Jones Transportation-20,I0006
6335,1,6,2/16/2010,,Dow Jones Transportation-20,I0006
10795,4,6,10/1/2010,,Dow Jones Transportation-20,I0006
1230,1,6,1/5/2012,,Dow Jones Transportation-20,I0006
6461,1,6,11/1/2012,,Dow Jones Transportation-20,I0006
1045,4,6,10/15/2015,,Dow Jones Transportation-20,I0006
1440,1,7,1/1/1900,,Dow Jones Utilities-15 Stk,I0007
3413,1,7,1/1/1900,,Dow Jones Utilities-15 Stk,I0007
8264,1,7,1/1/1900,,Dow Jones Utilities-15 Stk,I0007
8539,1,7,1/1/1900,,Dow Jones Utilities-15 Stk,I0007
8810,1,7,1/1/1900,,Dow Jones Utilities-15 Stk,I0007
9846,1,7,1/1/1900,,Dow Jones Utilities-15 Stk,I0007
4093,1,7,5/12/1997,,Dow Jones Utilities-15 Stk,I0007
9850,1,7,5/12/1997,,Dow Jones Utilities-15 Stk,I0007
11506,1,7,5/12/1997,,Dow Jones Utilities-15 Stk,I0007
5742,1,7,8/7/1997,,Dow Jones Utilities-15 Stk,I0007
4029,1,7,1/29/2000,,Dow Jones Utilities-15 Stk,I0007
7974,1,7,11/13/2000,,Dow Jones Utilities-15 Stk,I0007
24216,1,7,11/13/2000,,Dow Jones Utilities-15 Stk,I0007
8099,1,7,12/3/2001,,Dow Jones Utilities-15 Stk,I0007
4517,1,7,10/11/2007,,Dow Jones Utilities-15 Stk,I0007
1602,1,208,1/1/1995,,Nasdaq 100,I0028
1690,1,208,1/1/1995,,Nasdaq 100,I0028
1704,1,208,1/1/1995,,Nasdaq 100,I0028
6008,1,208,1/1/1995,,Nasdaq 100,I0028
8253,1,208,1/1/1995,,Nasdaq 100,I0028
8402,1,208,1/1/1995,,Nasdaq 100,I0028
12141,1,208,1/1/1995,,Nasdaq 100,I0028
12540,1,208,1/1/1995,,Nasdaq 100,I0028
20779,1,208,1/1/1995,,Nasdaq 100,I0028
24800,1,208,1/1/1995,,Nasdaq 100,I0028
29028,1,208,1/1/1995,,Nasdaq 100,I0028
16721,1,208,1/1/1995,12/27/2012,Nasdaq 100,I0028
12142,1,208,1/1/1995,7/14/2013,Nasdaq 100,I0028
14489,1,208,1/1/1995,10/29/2013,Nasdaq 100,I0028
15521,1,208,1/1/1995,12/20/2015,Nasdaq 100,I0028
12216,1,208,1/1/1995,10/18/2016,Nasdaq 100,I0028
22325,1,208,1/1/1995,2/15/2022,Nasdaq 100,I0028
6304,1,208,2/27/1995,2/25/2016,Nasdaq 100,I0028
14324,1,208,7/19/1995,10/6/2015,Nasdaq 100,I0028
25434,1,208,11/25/1996,,Nasdaq 100,I0028
12635,1,208,12/23/1996,,Nasdaq 100,I0028
25338,1,208,12/23/1996,12/18/2016,Nasdaq 100,I0028
27965,1,208,6/4/1997,12/29/2013,Nasdaq 100,I0028
61676,1,208,1/7/1998,12/18/2020,Nasdaq 100,I0028
62634,1,208,9/16/1998,6/16/2017,Nasdaq 100,I0028
27928,1,208,12/21/1998,,Nasdaq 100,I0028
64768,1,208,12/21/1998,,Nasdaq 100,I0028
114524,1,208,10/6/1999,,Nasdaq 100,I0028
61591,1,208,12/20/1999,12/18/2016,Nasdaq 100,I0028
66368,1,208,6/9/2000,12/27/2012,Nasdaq 100,I0028
66708,1,208,10/30/2000,11/10/2015,Nasdaq 100,I0028
24468,1,208,12/18/2000,,Nasdaq 100,I0028
30170,1,208,12/18/2000,12/27/2012,Nasdaq 100,I0028
63185,1,208,12/18/2000,12/20/2021,Nasdaq 100,I0028
24856,1,208,10/5/2001,,Nasdaq 100,I0028
31122,1,208,12/17/2001,12/27/2012,Nasdaq 100,I0028
25356,1,208,12/24/2001,12/28/2018,Nasdaq 100,I0028
15855,1,208,12/24/2001,12/23/2019,Nasdaq 100,I0028
9699,1,208,7/15/2002,8/4/2015,Nasdaq 100,I0028
14538,90,208,11/7/2002,5/29/2012,Nasdaq 100,I0028
3226,1,208,11/19/2002,,Nasdaq 100,I0028
14225,1,208,12/23/2002,,Nasdaq 100,I0028
13700,1,208,12/23/2002,12/29/2013,Nasdaq 100,I0028
4494,1,208,12/23/2002,12/20/2015,Nasdaq 100,I0028
65609,1,208,12/23/2002,12/20/2015,Nasdaq 100,I0028
6565,1,208,12/22/2003,12/27/2012,Nasdaq 100,I0028
65986,1,208,12/22/2003,12/27/2012,Nasdaq 100,I0028
137310,1,208,12/22/2003,12/27/2012,Nasdaq 100,I0028
141459,1,208,12/22/2003,12/20/2015,Nasdaq 100,I0028
6307,3,208,8/19/2004,12/29/2013,Nasdaq 100,I0028
1878,1,208,12/20/2004,,Nasdaq 100,I0028
149318,1,208,12/20/2004,12/20/2015,Nasdaq 100,I0028
111864,1,208,12/29/2004,,Nasdaq 100,I0028
13599,1,208,7/6/2005,11/20/2019,Nasdaq 100,I0028
117768,1,208,12/21/2005,,Nasdaq 100,I0028
160329,1,208,12/21/2005,,Nasdaq 100,I0028
140902,2,208,12/21/2005,12/20/2011,Nasdaq 100,I0028
126296,2,208,12/21/2005,12/21/2014,Nasdaq 100,I0028
13003,2,208,1/4/2006,12/6/2011,Nasdaq 100,I0028
136725,1,208,2/8/2006,,Nasdaq 100,I0028
174147,1,208,10/23/2006,12/28/2018,Nasdaq 100,I0028
24344,1,208,12/20/2006,,Nasdaq 100,I0028
211009,90,208,12/20/2006,12/11/2012,Nasdaq 100,I0028
61494,1,208,10/3/2007,12/23/2019,Nasdaq 100,I0028
164532,90,208,12/5/2007,,Nasdaq 100,I0028
63527,1,208,12/28/2007,12/18/2016,Nasdaq 100,I0028
12206,1,208,5/7/2008,7/27/2015,Nasdaq 100,I0028
3310,1,208,5/20/2008,11/6/2018,Nasdaq 100,I0028
180405,1,208,7/10/2008,,Nasdaq 100,I0028
28477,1,208,7/23/2008,12/20/2011,Nasdaq 100,I0028
150937,1,208,11/12/2008,12/28/2018,Nasdaq 100,I0028
1891,1,208,12/30/2008,,Nasdaq 100,I0028
9248,1,208,12/30/2008,,Nasdaq 100,I0028
28180,1,208,12/30/2008,,Nasdaq 100,I0028
29150,1,208,12/30/2008,12/20/2011,Nasdaq 100,I0028
138205,1,208,12/30/2008,12/20/2011,Nasdaq 100,I0028
175404,1,208,12/30/2008,4/22/2012,Nasdaq 100,I0028
175163,1,208,12/30/2008,12/27/2012,Nasdaq 100,I0028
118577,1,208,12/30/2008,8/28/2013,Nasdaq 100,I0028
14256,1,208,12/30/2008,12/21/2014,Nasdaq 100,I0028
12886,4,208,1/21/2009,3/19/2019,Nasdaq 100,I0028
12850,1,208,7/17/2009,12/20/2021,Nasdaq 100,I0028
119314,1,208,10/29/2009,,Nasdaq 100,I0028
63186,1,208,12/22/2009,12/20/2011,Nasdaq 100,I0028
153668,1,208,12/22/2009,6/4/2013,Nasdaq 100,I0028
14650,1,208,12/22/2009,7/29/2013,Nasdaq 100,I0028
61513,1,208,12/22/2009,3/15/2016,Nasdaq 100,I0028
7116,1,208,12/22/2009,10/27/2017,Nasdaq 100,I0028
14894,90,208,12/22/2009,12/28/2018,Nasdaq 100,I0028
7637,1,208,12/22/2009,12/23/2019,Nasdaq 100,I0028
7343,1,208,12/20/2010,,Nasdaq 100,I0028
31587,1,208,12/20/2010,,Nasdaq 100,I0028
157413,90,208,12/20/2010,7/23/2012,Nasdaq 100,I0028
147579,1,208,12/20/2010,12/27/2012,Nasdaq 100,I0028
121077,1,208,12/20/2010,12/21/2014,Nasdaq 100,I0028
24893,1,208,12/20/2010,12/18/2016,Nasdaq 100,I0028
125595,1,208,12/20/2010,12/17/2017,Nasdaq 100,I0028
62263,1,208,4/4/2011,7/21/2021,Nasdaq 100,I0028
28877,1,208,5/27/2011,12/27/2012,Nasdaq 100,I0028
30662,1,208,7/20/2011,,Nasdaq 100,I0028
24782,1,208,12/7/2011,6/5/2013,Nasdaq 100,I0028
24316,1,208,12/19/2011,,Nasdaq 100,I0028
180711,1,208,12/19/2011,,Nasdaq 100,I0028
205692,92,208,12/19/2011,11/19/2013,Nasdaq 100,I0028
28118,1,208,12/19/2011,12/22/2013,Nasdaq 100,I0028
61685,1,208,12/19/2011,12/22/2013,Nasdaq 100,I0028
10499,1,208,4/23/2012,,Nasdaq 100,I0028
165675,1,208,5/30/2012,12/17/2017,Nasdaq 100,I0028
142953,1,208,7/24/2012,,Nasdaq 100,I0028
170617,1,208,12/12/2012,,Nasdaq 100,I0028
1632,1,208,12/24/2012,,Nasdaq 100,I0028
23812,1,208,12/24/2012,,Nasdaq 100,I0028
180652,1,208,12/24/2012,,Nasdaq 100,I0028
32280,1,208,12/24/2012,3/17/2013,Nasdaq 100,I0028
138743,1,208,12/24/2012,3/22/2015,Nasdaq 100,I0028
31616,1,208,12/24/2012,7/26/2015,Nasdaq 100,I0028
121382,1,208,12/24/2012,3/27/2017,Nasdaq 100,I0028
164296,1,208,12/24/2012,12/15/2017,Nasdaq 100,I0028
11399,1,208,12/24/2012,10/16/2020,Nasdaq 100,I0028
160549,1,208,12/24/2012,12/18/2020,Nasdaq 100,I0028
12978,1,208,3/20/2013,7/2/2015,Nasdaq 100,I0028
17010,1,208,6/5/2013,4/17/2016,Nasdaq 100,I0028
147579,1,208,6/6/2013,,Nasdaq 100,I0028
184996,1,208,7/15/2013,,Nasdaq 100,I0028
126136,3,208,7/30/2013,,Nasdaq 100,I0028
28877,1,208,8/29/2013,12/20/2015,Nasdaq 100,I0028
63987,93,208,10/30/2013,12/20/2015,Nasdaq 100,I0028
28930,2,208,11/20/2013,,Nasdaq 100,I0028
138205,1,208,12/23/2013,,Nasdaq 100,I0028
184725,1,208,12/23/2013,2/21/2017,Nasdaq 100,I0028
199356,1,208,12/23/2013,5/3/2017,Nasdaq 100,I0028
29736,1,208,12/23/2013,12/15/2017,Nasdaq 100,I0028
60900,1,208,12/23/2013,7/20/2018,Nasdaq 100,I0028
160329,3,208,4/3/2014,,Nasdaq 100,I0028
17010,3,208,7/30/2014,4/17/2016,Nasdaq 100,I0028
13664,1,208,10/15/2014,3/11/2018,Nasdaq 100,I0028
6565,1,208,12/22/2014,,Nasdaq 100,I0028
16721,1,208,12/22/2014,,Nasdaq 100,I0028
3226,2,208,12/22/2014,12/11/2015,Nasdaq 100,I0028
12886,1,208,12/22/2014,3/19/2019,Nasdaq 100,I0028
1045,4,208,12/22/2014,4/20/2020,Nasdaq 100,I0028
11264,1,208,3/23/2015,,Nasdaq 100,I0028
24724,1,208,7/2/2015,12/20/2015,Nasdaq 100,I0028
24724,2,208,7/2/2015,12/20/2015,Nasdaq 100,I0028
5568,4,208,7/3/2015,,Nasdaq 100,I0028
122257,1,208,7/28/2015,12/18/2020,Nasdaq 100,I0028
19744,90,208,7/29/2015,,Nasdaq 100,I0028
1327,1,208,8/5/2015,,Nasdaq 100,I0028
29127,1,208,10/7/2015,12/20/2021,Nasdaq 100,I0028
24616,1,208,11/11/2015,,Nasdaq 100,I0028
17874,1,208,12/21/2015,,Nasdaq 100,I0028
63645,1,208,12/21/2015,7/19/2016,Nasdaq 100,I0028
104432,1,208,12/21/2015,12/17/2017,Nasdaq 100,I0028
126296,2,208,12/21/2015,12/18/2020,Nasdaq 100,I0028
178704,1,208,12/21/2015,12/18/2020,Nasdaq 100,I0028
14256,1,208,12/21/2015,8/25/2021,Nasdaq 100,I0028
157413,90,208,12/21/2015,12/20/2021,Nasdaq 100,I0028
2574,1,208,2/26/2016,,Nasdaq 100,I0028
137435,90,208,3/16/2016,,Nasdaq 100,I0028
27186,1,208,4/18/2016,6/21/2016,Nasdaq 100,I0028
27186,3,208,4/18/2016,6/21/2016,Nasdaq 100,I0028
27187,1,208,4/18/2016,6/21/2016,Nasdaq 100,I0028
27187,3,208,4/18/2016,6/21/2016,Nasdaq 100,I0028
13700,1,208,6/22/2016,11/29/2018,Nasdaq 100,I0028
27965,1,208,7/20/2016,,Nasdaq 100,I0028
212340,90,208,10/19/2016,12/28/2018,Nasdaq 100,I0028
3062,1,208,12/19/2016,,Nasdaq 100,I0028
6304,1,208,12/19/2016,,Nasdaq 100,I0028
24724,1,208,12/19/2016,1/2/2018,Nasdaq 100,I0028
24724,2,208,12/19/2016,1/2/2018,Nasdaq 100,I0028
20904,1,208,12/19/2016,12/28/2018,Nasdaq 100,I0028
5518,1,208,12/19/2016,12/23/2019,Nasdaq 100,I0028
5783,1,208,2/8/2017,12/23/2019,Nasdaq 100,I0028
24197,1,208,3/20/2017,,Nasdaq 100,I0028
149318,1,208,4/27/2017,12/23/2019,Nasdaq 100,I0028
178081,1,208,6/19/2017,,Nasdaq 100,I0028
141384,1,208,10/30/2017,,Nasdaq 100,I0028
13421,1,208,12/18/2017,,Nasdaq 100,I0028
15044,1,208,12/18/2017,,Nasdaq 100,I0028
24975,1,208,12/18/2017,,Nasdaq 100,I0028
61214,90,208,12/18/2017,,Nasdaq 100,I0028
64630,1,208,12/18/2017,12/18/2020,Nasdaq 100,I0028
8479,1,208,7/24/2018,,Nasdaq 100,I0028
184725,1,208,11/7/2018,,Nasdaq 100,I0028
7977,1,208,11/29/2018,,Nasdaq 100,I0028
1161,1,208,12/28/2018,,Nasdaq 100,I0028
66368,1,208,12/28/2018,,Nasdaq 100,I0028
178015,1,208,12/28/2018,,Nasdaq 100,I0028
144009,1,208,12/28/2018,4/30/2020,Nasdaq 100,I0028
10795,4,208,12/28/2018,6/22/2020,Nasdaq 100,I0028
61591,1,208,12/28/2018,8/21/2020,Nasdaq 100,I0028
8539,1,208,11/21/2019,,Nasdaq 100,I0028
29901,1,208,12/23/2019,,Nasdaq 100,I0028
63080,1,208,12/23/2019,,Nasdaq 100,I0028
141460,1,208,12/23/2019,,Nasdaq 100,I0028
170616,1,208,12/23/2019,,Nasdaq 100,I0028
112111,1,208,12/23/2019,7/20/2020,Nasdaq 100,I0028
28320,2,208,12/23/2019,12/20/2021,Nasdaq 100,I0028
34636,1,208,3/19/2020,12/20/2021,Nasdaq 100,I0028
34636,2,208,3/19/2020,12/20/2021,Nasdaq 100,I0028
162887,1,208,4/20/2020,,Nasdaq 100,I0028
35005,1,208,4/30/2020,,Nasdaq 100,I0028
33301,1,208,6/22/2020,,Nasdaq 100,I0028
34410,1,208,7/20/2020,,Nasdaq 100,I0028
33861,90,208,8/24/2020,,Nasdaq 100,I0028
28877,2,208,10/19/2020,,Nasdaq 100,I0028
1440,1,208,12/21/2020,,Nasdaq 100,I0028
26061,1,208,12/21/2020,,Nasdaq 100,I0028
26494,1,208,12/21/2020,,Nasdaq 100,I0028
30736,1,208,12/21/2020,,Nasdaq 100,I0028
137310,1,208,12/21/2020,,Nasdaq 100,I0028
35627,1,208,12/21/2020,1/24/2022,Nasdaq 100,I0028
1300,1,208,7/21/2021,,Nasdaq 100,I0028
35182,1,208,8/26/2021,,Nasdaq 100,I0028
33037,1,208,12/20/2021,,Nasdaq 100,I0028
35620,1,208,12/20/2021,,Nasdaq 100,I0028
37460,1,208,12/20/2021,,Nasdaq 100,I0028
39337,1,208,12/20/2021,,Nasdaq 100,I0028
171067,1,208,12/20/2021,,Nasdaq 100,I0028
183377,1,208,12/20/2021,,Nasdaq 100,I0028
